aircraft_id,waypoint,latitude,longitude,timestamp,altitude,speed,distance_to_waypoint
ICAO24_00047,HYD,17.385,78.4867,2024-11-02 15:13:40.216759,36096,582,0.787
ICAO24_00042,VGA,16.5186,80.6527,2024-11-02 14:43:40.216759,29092,380,0.682
ICAO24_00019,WP008,16.711133,80.171367,2024-11-01 23:28:40.216759,37332,496,0.056
ICAO24_00043,HYD,17.385,78.4867,2024-11-02 06:50:40.216759,20414,486,0.396
ICAO24_00047,VGA,16.5186,80.6527,2024-11-02 04:45:40.216759,18214,485,0.532
ICAO24_00009,WP007,16.8074,79.9307,2024-11-02 15:04:40.216759,36020,479,0.348
ICAO24_00043,WP003,17.192467,78.968033,2024-11-02 08:59:40.216759,31980,295,0.897
ICAO24_00029,WP003,17.192467,78.968033,2024-11-02 16:37:40.216759,29888,207,0.706
ICAO24_00042,HYD,17.385,78.4867,2024-11-02 06:04:40.216759,38805,526,0.69
ICAO24_00035,WP009,16.614867,80.412033,2024-11-02 11:42:40.216759,23433,311,0.63
ICAO24_00032,WP008,16.711133,80.171367,2024-11-01 01:03:40.216871,24645,356,0.089
ICAO24_00039,WP008,16.711133,80.171367,2024-11-01 02:56:40.216871,19832,559,0.476
ICAO24_00010,HYD,17.385,78.4867,2024-10-31 21:57:40.216871,29096,370,0.048
ICAO24_00000,WP008,16.711133,80.171367,2024-10-31 21:36:40.216871,31149,463,0.825
ICAO24_00004,WP007,16.8074,79.9307,2024-11-01 12:06:40.216871,25968,440,0.206
ICAO24_00003,WP006,16.903667,79.690033,2024-10-31 11:51:40.216912,31533,596,0.257
ICAO24_00019,WP008,16.711133,80.171367,2024-10-31 18:39:40.216912,18950,376,0.287
ICAO24_00007,WP004,17.0962,79.2087,2024-10-31 09:15:40.216912,37297,468,0.083
ICAO24_00044,WP003,17.192467,78.968033,2024-10-31 08:47:40.216912,19896,521,0.997
ICAO24_00024,WP002,17.288733,78.727367,2024-10-31 07:25:40.216912,24967,355,0.918
ICAO24_00047,WP006,16.903667,79.690033,2024-10-31 05:23:40.216912,36058,416,0.385
ICAO24_00036,HYD,17.385,78.4867,2024-10-31 12:40:40.216912,31075,336,0.579
ICAO24_00027,VGA,16.5186,80.6527,2024-10-30 22:39:40.216912,19678,550,0.036
ICAO24_00047,WP008,16.711133,80.171367,2024-10-31 00:29:40.216912,33251,342,0.765
ICAO24_00029,WP005,16.999933,79.449367,2024-10-31 00:35:40.216912,24243,379,0.753
ICAO24_00021,WP008,16.711133,80.171367,2024-10-30 21:02:40.216912,36100,201,0.129
ICAO24_00012,WP002,17.288733,78.727367,2024-10-30 22:34:40.216912,32722,236,0.49
ICAO24_00012,WP005,16.999933,79.449367,2024-10-30 19:02:40.217025,27477,240,0.195
ICAO24_00019,WP002,17.288733,78.727367,2024-10-30 18:58:40.217025,25196,382,0.551
ICAO24_00044,WP006,16.903667,79.690033,2024-10-30 19:44:40.217025,31485,497,0.989
