PilotID,PredictedScore
1,7.633409728317312
1,7.569123895336715
1,7.36062499823216
1,7.490998966814866
1,8.086601915375958
1,7.579171281560085
1,7.89784974191085
1,8.310794936927955
1,7.746889089368234
1,7.697294533782839
1,7.470480926729413
1,7.504398019017973
1,7.833622745146271
1,7.631197771959848
1,7.173796144191602
1,7.996949916675696
1,7.224365189703037
1,7.998316883221296
1,7.014404231781303
1,8.382021746269535
1,8.054500351111274
1,7.924093854089006
1,7.064198271068498
1,7.176931562492087
1,7.274915999201991
1,7.359186786175425
1,8.441314796800858
1,7.805324448333018
1,7.550737130281226
1,7.317792899988847
1,7.657292663653618
1,8.064513206504442
1,8.435203258532606
1,7.13319471290967
1,8.193115476046524
1,8.028416849889489
1,7.492814813095026
1,8.237782242396575
1,7.6750547035963415
1,7.386952424827412
1,7.477910019337537
1,7.807320196343013
1,7.214992494685442
1,7.8325541891473085
1,7.9330302906334005
1,7.42525051087893
1,7.272089065392695
1,7.728952152912029
1,7.9594127883335855
1,7.967230505030308
1,7.914166230575334
1,7.934311650281313
1,6.8911782746566965
1,8.022680807700471
1,8.046709604837012
1,8.050818756104082
1,7.525621628183942
1,7.4412504838952485
1,7.704320365377548
1,7.778447278828144
1,7.261448117269269
1,7.854990314471352
1,7.949280619331692
1,7.194505563026434
1,8.064922007138195
1,7.881536735630808
1,7.877525347078875
1,8.426366297686183
1,7.479815136981397
1,8.178277284470937
1,7.974507767377875
1,7.895589987260373
1,6.68481956075745
1,7.457336821358121
1,7.812299778518284
1,7.482609546863175
1,8.079718097111233
1,7.718385087051176
1,7.929593466813129
1,8.513586996221603
1,7.326113208334414
1,7.706234128311198
1,7.5710499548342955
1,6.968288756058403
1,7.5581791641559
1,8.031255789760529
1,7.315530432137544
1,8.018782784116125
1,6.801352289049863
1,7.058731685592214
1,7.832695433153001
1,7.881939815331211
1,7.9173488710163715
1,7.82880362080927
1,7.950517508823349
1,8.030157277040837
1,7.829651070741967
1,7.676700970584247
1,8.300095973431599
1,8.136909747948451
2,7.783431571398247
2,7.905051243781785
2,8.136116640279871
2,7.804263912302884
2,8.343722836963707
2,7.5330051157928395
2,8.263656899314281
2,8.261305566220734
2,7.771032023044143
2,7.52510771732947
2,7.800725784166457
2,7.742050346457495
2,8.498643702628922
2,8.298324995394932
2,7.396473712513337
2,7.232186242389457
2,8.115102173472819
2,7.49102935116617
2,7.877010280618061
2,8.424824272199107
2,7.074731744696403
2,7.786285252479564
2,7.847325344593474
2,8.008277542003174
2,7.696899219510227
2,7.328486488988228
2,8.092985777241601
2,7.445156136361834
2,7.187035271150486
2,7.648544695306891
2,7.833579196803006
2,8.221419702320302
2,7.388562309908399
2,7.1991085457393424
2,6.911966127891812
2,7.671309919853058
2,8.22811555910124
2,7.494090240047568
2,7.644867695826073
2,8.555823767109867
2,7.402113910261372
2,7.4411215455186435
2,7.616278241066249
